,EPI,ERE,HAQ,PMD,PMX,NXA,USD,UWD,WWT,SNM,NBA,TCL,FSS,TBN,TBG,MPA,SPI,BHV,TCI,TCE
159,6,3,1,10,10,9,3,2,5,10.0,10.0,4.0,6.0,10,10,9.0,9,9,4.0,10.0
160,7,9,10,8,6,7,9,9,8,6.0,0.0,0.0,5.0,10,10,8.0,9,9,7.0,6.0
161,5,5,6,0,0,8,5,8,5,6.0,2.0,7.0,3.0,6,6,7.0,6,6,6.0,5.0
162,8,8,8,10,10,10,8,9,6,6.0,10.0,8.0,6.0,4,5,8.0,6,6,8.0,10.0
163,7,10,10,10,10,10,9,10,6,4.0,0.0,7.0,3.0,6,6,3.0,6,6,6.0,10.0
164,8,7,10,10,10,9,9,9,8,8.0,10.0,6.0,6.0,5,6,8.0,6,6,8.0,6.0
165,7,10,10,10,9,8,9,10,5,9.0,10.0,0.0,5.0,5,5,7.0,5,5,5.0,10.0
166,8,8,9,10,10,9,8,7,7,4.0,0.0,7.0,3.0,9,9,10.0,8,8,8.0,7.0
167,7,7,8,10,9,9,6,7,5,9.0,10.0,5.0,1.0,10,10,10.0,8,8,2.0,10.0
168,7,6,7,10,10,9,7,8,5,9.0,10.0,6.0,5.0,9,9,9.0,8,8,9.0,6.0
169,7,7,8,9,7,9,9,5,5,9.0,10.0,8.0,1.0,8,8,8.0,7,7,10.0,10.0
170,6,9,10,10,10,10,10,9,0,5.0,0.0,6.0,4.0,9,8,5.0,9,9,5.0,10.0
171,8,8,10,8,6,1,10,10,10,9.0,1.0,6.0,3.0,10,10,10.0,10,10,8.0,7.0
172,6,4,1,10,9,9,4,6,3,10.0,10.0,5.0,4.0,10,9,10.0,9,9,9.0,10.0
173,6,4,5,10,9,9,5,4,2,10.0,10.0,6.0,5.0,8,8,4.0,9,9,10.0,3.0
174,5,4,7,10,10,9,6,3,0,9.0,10.0,6.0,9.0,3,2,9.0,4,3,8.0,10.0
175,7,7,7,10,10,9,8,9,4,10.0,10.0,0.0,4.0,9,9,10.0,7,7,6.0,10.0
176,8,8,8,8,6,6,9,10,6,9.0,10.0,9.0,3.0,6,6,8.0,6,6,9.0,6.0
177,5,5,3,10,10,10,5,6,0,5.0,2.0,7.0,5.0,4,4,6.0,3,3,5.0,10.0
178,5,3,5,10,10,10,5,7,0,10.0,10.0,6.0,1.0,7,7,5.0,7,7,5.0,10.0
179,8,9,10,9,8,6,9,9,7,10.0,10.0,5.0,5.0,6,6,9.0,6,6,9.0,8.0
