#,EPI,EPI1,EPI2,EPI3,EPI4,EPI5,EPI6,EPI7,EPI8,EPI9,EPI10,EPI11,ERE,HAQ,PMD,PMX,NXA,USD,UWD,WWT,SNM,NBA,TCL,FSS,TBN,TBG,MPA,SPI,BHV,TCI,TCE
"0,558293764904477",7,7,7,6,6,7,7,7,7,7,7,7,6,7,10,10,9,5,7,6,7,10,,4,10,10,9,9,10,6,10
"0,575699129075567",9,9,9,9,9,8,9,9,9,9,9,9,10,10,10,10,5,9,10,9,10,10,2,6,10,10,10,10,10,7,8
"0,58222965228442",7,7,7,4,4,7,7,5,5,7,7,6,8,9,10,10,10,8,9,4,8,10,10,4,7,7,0,6,6,,10
"0,587183404104138",7,7,7,6,6,7,7,7,7,7,7,7,8,8,10,7,7,9,8,6,6,0,5,6,5,5,8,4,5,9,10
"0,591024792598077",9,8,8,10,10,7,8,9,9,7,8,8,8,10,10,10,4,10,10,10,,,,6,6,6,8,7,9,10,9
"0,595407775684245",6,6,6,8,8,5,6,7,7,6,6,6,6,10,4,3,4,10,10,8,,,,5,10,10,6,8,9,3,6
"0,613703002360315",9,9,9,8,8,9,9,8,8,9,9,8,9,9,8,6,6,9,10,8,9,10,8,7,10,10,10,10,10,9,8
"0,628133003858074",6,6,6,1,2,6,6,4,4,6,6,5,8,10,10,10,10,8,9,1,1,0,,5,10,9,6,6,7,,10
"0,632128095897814",8,8,8,7,7,7,8,7,7,8,8,7,9,10,9,7,6,9,10,7,10,10,5,,7,7,,7,7,10,9
"0,63663632474321",7,7,7,8,8,7,7,8,8,7,7,7,7,9,10,10,7,7,8,8,9,10,0,6,6,7,10,7,7,6,5
"0,637565601905897",6,6,6,7,7,6,6,7,7,6,6,6,7,10,10,8,9,9,5,7,6,10,,5,1,3,3,3,2,5,10
"0,638342111071281",8,8,8,8,8,8,8,8,8,8,8,8,9,10,10,10,8,8,9,8,8,4,4,7,10,10,10,8,9,6,7
"0,641878562129485",6,6,5,0,1,6,6,3,3,6,6,4,9,6,9,7,7,9,10,0,9,10,9,,4,5,,3,3,,10
"0,648926505094154",6,6,5,0,1,5,5,3,3,5,5,4,8,10,10,10,10,9,10,0,,,,7,3,3,5,2,5,,10
"0,66760251787514",5,5,5,2,2,5,5,4,4,5,5,4,6,6,1,1,8,7,7,2,5,0,,4,8,7,8,6,6,6,5
"0,675525691767478",6,6,7,3,4,7,7,5,5,7,7,6,5,6,10,10,9,6,6,3,9,10,,6,10,10,8,9,10,6,10
"0,687953694320813",9,9,9,10,10,8,9,10,10,9,9,9,10,10,10,9,3,10,10,10,10,10,3,2,9,9,10,10,10,9,9
"0,693877299915493",8,8,8,6,6,8,8,7,7,8,8,7,9,10,10,10,8,9,9,6,5,0,6,5,9,9,8,10,10,8,10
"0,703283237254627",4,4,4,0,0,5,4,2,2,4,4,3,2,1,7,5,9,5,2,0,10,10,6,,8,8,,7,7,1,10
"0,70621442088715",6,5,5,3,3,6,5,4,4,6,5,5,5,4,10,10,10,6,8,3,,,10,4,6,6,3,6,5,,10
"0,708892384716786",7,7,6,8,8,6,6,7,7,6,6,7,7,7,0,0,2,7,9,8,6,0,6,6,8,9,8,7,7,8,9
"0,709285979757159",9,9,8,9,9,8,9,9,9,9,8,9,8,10,10,8,7,10,10,9,10,10,6,4,10,10,7,10,10,7,8
"0,710870339657961",8,8,8,8,8,8,8,8,8,8,8,8,9,10,10,9,4,10,10,8,10,10,2,4,7,8,10,7,7,8,8
"0,710951932680344",7,7,7,5,5,7,7,6,6,7,7,6,9,10,10,10,10,8,8,5,5,10,,3,9,9,4,9,10,,10
"0,711910386126073",8,8,8,7,7,8,8,8,8,8,8,8,9,9,10,10,9,9,8,7,6,10,6,3,7,8,9,8,8,9,4
